fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-12-02T12:53:45,2025-12-02 12:53:45,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.125,5.0,0.0,0.0,318.0,1.0,25.4,22.9,30.0,152.0,148.0,29.5,17.84,11.0,0.0,0.0,0.0,0.0,"30668839, 30668840, 30668841, 30668842, 30668843, 30668844, 30668845, 30668846, 30668847, 30668848, 30668849, 30668850, 30668851, 30668852, 30668853, 30668854, 30668855, 30668856, 30668857"
2025-12-02T12:53:42,2025-12-02 12:53:42,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.125,5.0,0.0,0.0,317.0,1.0,25.4,22.9,27.0,146.0,142.0,29.53,17.81,11.0,0.0,0.0,0.0,0.0,"30668820, 30668821, 30668822, 30668823, 30668824, 30668825, 30668826, 30668827, 30668828, 30668829, 30668830, 30668831, 30668832, 30668833, 30668834, 30668835, 30668836, 30668837, 30668838"
2025-12-02T12:53:39,2025-12-02 12:53:39,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.169,5.0,0.0,0.0,316.0,1.0,25.4,22.9,32.0,138.0,135.0,29.51,17.74,11.0,0.0,0.0,0.0,0.0,"30668801, 30668802, 30668803, 30668804, 30668805, 30668806, 30668807, 30668808, 30668809, 30668810, 30668811, 30668812, 30668813, 30668814, 30668815, 30668816, 30668817, 30668818, 30668819"
2025-12-02T12:53:36,2025-12-02 12:53:36,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.169,5.0,0.0,0.0,315.0,1.0,25.4,22.9,33.0,120.0,116.0,29.51,17.49,11.0,0.0,0.0,0.0,0.0,"30668782, 30668783, 30668784, 30668785, 30668786, 30668787, 30668788, 30668789, 30668790, 30668791, 30668792, 30668793, 30668794, 30668795, 30668796, 30668797, 30668798, 30668799, 30668800"
2025-12-02T12:53:33,2025-12-02 12:53:33,Sin sesión,,,,18,HIRIPRO-05,,31.5,3.169,5.0,0.0,0.0,314.0,1.0,25.4,22.9,34.0,108.0,107.0,29.5,17.4,11.0,0.0,0.0,0.0,0.0,"30668763, 30668764, 30668765, 30668766, 30668767, 30668768, 30668769, 30668770, 30668771, 30668772, 30668773, 30668774, 30668775, 30668776, 30668777, 30668778, 30668779, 30668780, 30668781"
2025-12-02T12:53:30,2025-12-02 12:53:30,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.173,5.0,0.0,0.0,313.0,1.0,25.4,23.0,32.0,97.0,85.0,29.47,17.5,11.0,0.0,0.0,0.0,0.0,"30668744, 30668745, 30668746, 30668747, 30668748, 30668749, 30668750, 30668751, 30668752, 30668753, 30668754, 30668755, 30668756, 30668757, 30668758, 30668759, 30668760, 30668761, 30668762"
2025-12-02T12:53:27,2025-12-02 12:53:27,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.173,5.0,0.0,0.0,312.0,1.0,25.4,22.9,36.0,91.0,76.0,29.51,17.57,11.0,0.0,0.0,0.0,0.0,"30668725, 30668726, 30668727, 30668728, 30668729, 30668730, 30668731, 30668732, 30668733, 30668734, 30668735, 30668736, 30668737, 30668738, 30668739, 30668740, 30668741, 30668742, 30668743"
2025-12-02T12:53:24,2025-12-02 12:53:24,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.217,5.0,0.0,0.0,311.0,1.0,25.3,23.0,44.0,92.0,79.0,29.5,17.57,11.0,0.0,0.0,0.0,0.0,"30668706, 30668707, 30668708, 30668709, 30668710, 30668711, 30668712, 30668713, 30668714, 30668715, 30668716, 30668717, 30668718, 30668719, 30668720, 30668721, 30668722, 30668723, 30668724"
2025-12-02T12:53:21,2025-12-02 12:53:21,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.217,5.0,0.0,0.0,310.0,1.0,25.4,23.0,60.0,97.0,85.0,29.5,17.67,11.0,0.0,0.0,0.0,0.0,"30668687, 30668688, 30668689, 30668690, 30668691, 30668692, 30668693, 30668694, 30668695, 30668696, 30668697, 30668698, 30668699, 30668700, 30668701, 30668702, 30668703, 30668704, 30668705"
2025-12-02T12:53:18,2025-12-02 12:53:18,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.217,5.0,0.0,0.0,309.0,1.0,25.3,23.0,63.0,96.0,85.0,29.51,17.79,11.0,0.0,0.0,0.0,0.0,"30668668, 30668669, 30668670, 30668671, 30668672, 30668673, 30668674, 30668675, 30668676, 30668677, 30668678, 30668679, 30668680, 30668681, 30668682, 30668683, 30668684, 30668685, 30668686"
