fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SDS198 [Material particulado PM 100 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-11-24T11:31:42,2025-11-24 11:31:42,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,26.0,26.0,29.0,18.0,-33.391315,-70.5,0.0,0.0,"30144332, 30144333, 30144334, 30144335, 30144336, 30144337, 30144338, 30144339, 30144340, 30144341, 30144342, 30144343, 30144344, 30144345, 30144346, 30144347, 30144348, 30144349"
2025-11-24T11:31:31,2025-11-24 11:31:31,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,20.0,28.0,27.0,29.0,18.0,-33.391315,-70.5,0.0,0.0,"30144300, 30144301, 30144302, 30144303, 30144304, 30144305, 30144306, 30144307, 30144308, 30144309, 30144310, 30144311, 30144312, 30144313, 30144314, 30144315, 30144316, 30144317"
2025-11-24T11:31:13,2025-11-24 11:31:13,Sin sesión,,,,18,HIRIPRO-06,,"23.25, 23.25","0.0, 0.0","6.0, 6.0","-33.391315, -33.391315","-70.5, -70.5","53456.0, 53456.0","1.0, 1.0","0.0, 0.0","0.0, 0.0","19.0, 20.0","28.0, 28.0","28.0, 27.0","78.0, 29.0","18.0, 18.0","-33.391315, -33.391315","-70.5, -70.5","0.0, 0.0","0.0, 0.0","30144257, 30144258, 30144259, 30144260, 30144261, 30144275, 30144276, 30144277, 30144278, 30144279, 30144262, 30144263, 30144264, 30144265, 30144266, 30144280, 30144281, 30144282, 30144283, 30144284, 30144267, 30144285, 30144268, 30144286, 30144269, 30144270, 30144271, 30144272, 30144273, 30144287, 30144288, 30144289, 30144290, 30144291, 30144274, 30144292"
2025-11-24T11:31:04,2025-11-24 11:31:04,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,19.0,30.0,28.0,78.0,18.0,-33.391315,-70.5,0.0,0.0,"30144224, 30144225, 30144226, 30144227, 30144228, 30144229, 30144230, 30144231, 30144232, 30144233, 30144234, 30144235, 30144236, 30144237, 30144238, 30144239, 30144240, 30144241"
2025-11-24T11:30:55,2025-11-24 11:30:55,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,19.0,29.0,29.0,80.0,18.0,-33.391315,-70.5,0.0,0.0,"30144206, 30144207, 30144208, 30144209, 30144210, 30144211, 30144212, 30144213, 30144214, 30144215, 30144216, 30144217, 30144218, 30144219, 30144220, 30144221, 30144222, 30144223"
2025-11-24T11:30:25,2025-11-24 11:30:25,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,17.0,29.0,29.0,81.0,18.0,-33.391315,-70.5,0.0,0.0,"30144188, 30144189, 30144190, 30144191, 30144192, 30144193, 30144194, 30144195, 30144196, 30144197, 30144198, 30144199, 30144200, 30144201, 30144202, 30144203, 30144204, 30144205"
2025-11-24T11:30:19,2025-11-24 11:30:19,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,16.0,25.0,24.0,82.0,18.0,-33.391315,-70.5,0.0,0.0,"30144170, 30144171, 30144172, 30144173, 30144174, 30144175, 30144176, 30144177, 30144178, 30144179, 30144180, 30144181, 30144182, 30144183, 30144184, 30144185, 30144186, 30144187"
2025-11-24T11:29:53,2025-11-24 11:29:53,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,17.0,26.0,25.0,83.0,18.0,-33.391315,-70.5,0.0,0.0,"30144152, 30144153, 30144154, 30144155, 30144156, 30144157, 30144158, 30144159, 30144160, 30144161, 30144162, 30144163, 30144164, 30144165, 30144166, 30144167, 30144168, 30144169"
2025-11-24T11:29:31,2025-11-24 11:29:31,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,17.0,26.0,25.0,85.0,18.0,-33.391315,-70.5,0.0,0.0,"30144134, 30144135, 30144136, 30144137, 30144138, 30144139, 30144140, 30144141, 30144142, 30144143, 30144144, 30144145, 30144146, 30144147, 30144148, 30144149, 30144150, 30144151"
2025-11-24T11:29:05,2025-11-24 11:29:05,Sin sesión,,,,18,HIRIPRO-06,,"23.25, 23.25","0.0, 0.0","6.0, 6.0","-33.391315, -33.391315","-70.5, -70.5","53456.0, 53456.0","1.0, 1.0","0.0, 0.0","0.0, 0.0","17.0, 17.0","27.0, 27.0","26.0, 27.0","47.0, 47.0","18.0, 18.0","-33.391315, -33.391315","-70.5, -70.5","0.0, 0.0","0.0, 0.0","30144098, 30144099, 30144100, 30144101, 30144102, 30144116, 30144117, 30144118, 30144119, 30144120, 30144103, 30144104, 30144105, 30144106, 30144107, 30144121, 30144122, 30144123, 30144124, 30144125, 30144108, 30144126, 30144109, 30144127, 30144110, 30144111, 30144112, 30144113, 30144114, 30144128, 30144129, 30144130, 30144131, 30144132, 30144115, 30144133"
2025-11-24T11:28:45,2025-11-24 11:28:45,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,17.0,25.0,24.0,47.0,18.0,-33.391315,-70.5,0.0,0.0,"30144048, 30144049, 30144050, 30144051, 30144052, 30144053, 30144054, 30144055, 30144056, 30144057, 30144058, 30144059, 30144060, 30144061, 30144062, 30144063, 30144064, 30144065"
